series1,series2,sbd,cogroup1,cogroup2,same_cogroup,pair_type,relationship,overlap
m5.C1,m1.C2,0.1414594037940241,1,1,TRUE,clone-clone,within co-cluster,0.0625
m5.C2,m1.C2,0.3081932536774855,2,1,FALSE,clone-clone,between co-clusters,0
m5.C3,m1.C2,0.41493010957735255,1,1,TRUE,clone-clone,within co-cluster,0
m5.C4,m1.C2,0.49287565158573954,2,1,FALSE,clone-clone,between co-clusters,0
m5.C5,m1.C2,0.6502283464328074,2,1,FALSE,clone-clone,between co-clusters,0
m5.C6,m1.C2,0.6616067409842223,5,1,FALSE,clone-clone,between co-clusters,0
m5.C7,m1.C2,0.5309678476051247,5,1,FALSE,clone-clone,between co-clusters,0.0625
m5.C8,m1.C2,0.5964533410202808,5,1,FALSE,clone-clone,between co-clusters,0
m5.C9,m1.C2,0.6025465612545665,5,1,FALSE,clone-clone,between co-clusters,0.0625
m5.Enterobacteriaceae,m1.C2,0.6808134911949106,3,1,FALSE,clone-species,between co-clusters,0
m5.Lactobacillaceae,m1.C2,0.6938812874866087,2,1,FALSE,clone-species,between co-clusters,0
m5.Paenibacillaceae,m1.C2,0.24612489577082175,1,1,TRUE,clone-species,within co-cluster,0
m6.C1,m1.C2,0.12151658095687934,1,1,TRUE,clone-clone,within co-cluster,0.0625
m6.C2,m1.C2,0.2394898330237254,1,1,TRUE,clone-clone,within co-cluster,0
m6.C3,m1.C2,0.5415642950181201,5,1,FALSE,clone-clone,between co-clusters,0.125
m6.C4,m1.C2,0.507027349973181,5,1,FALSE,clone-clone,between co-clusters,0
m6.C5,m1.C2,0.5993050622491328,2,1,FALSE,clone-clone,between co-clusters,0
m6.C6,m1.C2,0.5784649613833204,5,1,FALSE,clone-clone,between co-clusters,0
m6.Enterobacteriaceae,m1.C2,0.7726880103432989,3,1,FALSE,clone-species,between co-clusters,0
m6.Lactobacillaceae,m1.C2,0.3695657098346944,1,1,TRUE,clone-species,within co-cluster,0
m6.Paenibacillaceae,m1.C2,0.2845533771230975,1,1,TRUE,clone-species,within co-cluster,0
m7.C1,m1.C2,0.1380147135825609,1,1,TRUE,clone-clone,within co-cluster,0.0625
m7.C2,m1.C2,0.18895118667450328,1,1,TRUE,clone-clone,within co-cluster,0
m7.C3,m1.C2,0.6935123342728955,3,1,FALSE,clone-clone,between co-clusters,0.0625
m7.C4,m1.C2,0.5657209845424525,3,1,FALSE,clone-clone,between co-clusters,0
m7.C5,m1.C2,0.7025537582046306,3,1,FALSE,clone-clone,between co-clusters,0
m7.C6,m1.C2,0.511693429463765,5,1,FALSE,clone-clone,between co-clusters,0
m7.C7,m1.C2,0.5969151220114095,5,1,FALSE,clone-clone,between co-clusters,0.125
m7.Enterobacteriaceae,m1.C2,0.720858959957014,3,1,FALSE,clone-species,between co-clusters,0
m7.Lactobacillaceae,m1.C2,0.27230524677851564,1,1,TRUE,clone-species,within co-cluster,0
m7.Paenibacillaceae,m1.C2,0.2808146105829812,1,1,TRUE,clone-species,within co-cluster,0
m8.C1,m1.C2,0.28029837261910506,1,1,TRUE,clone-clone,within co-cluster,0
m8.C2,m1.C2,0.1298552439015771,1,1,TRUE,clone-clone,within co-cluster,0.0625
m8.C3,m1.C2,0.6581252244822009,3,1,FALSE,clone-clone,between co-clusters,0
m8.C4,m1.C2,0.5462156980415601,5,1,FALSE,clone-clone,between co-clusters,0
m8.C5,m1.C2,0.5765435997019118,5,1,FALSE,clone-clone,between co-clusters,0.125
m8.C6,m1.C2,0.5269982080781936,5,1,FALSE,clone-clone,between co-clusters,0
m8.C7,m1.C2,0.5505600179682832,5,1,FALSE,clone-clone,between co-clusters,0
m8.Enterobacteriaceae,m1.C2,0.7707582446058906,3,1,FALSE,clone-species,between co-clusters,0
m8.Lactobacillaceae,m1.C2,0.27659557465994566,1,1,TRUE,clone-species,within co-cluster,0
m8.Paenibacillaceae,m1.C2,0.15816528030017507,1,1,TRUE,clone-species,within co-cluster,0
m1.C4,m1.C3,0.06750210783180977,2,2,TRUE,clone-clone,within co-cluster,0
m1.C5,m1.C3,0.23926690711450738,2,2,TRUE,clone-clone,within co-cluster,0
m1.C6,m1.C3,0.1798210753120585,2,2,TRUE,clone-clone,within co-cluster,0
m1.C7,m1.C3,0.45465476946402894,2,2,TRUE,clone-clone,within co-cluster,0
m1.C8,m1.C3,0.3184518989909251,3,2,FALSE,clone-clone,between co-clusters,0
m1.C9,m1.C3,0.6774914908357355,4,2,FALSE,clone-clone,between co-clusters,0
m1.Enterobacteriaceae,m1.C3,0.5005266842313596,5,2,FALSE,clone-species,between co-clusters,0
m1.Lachnospiraceae,m1.C3,0.48200774024682436,5,2,FALSE,clone-species,between co-clusters,0
m1.Muribaculaceae,m1.C3,0.48262404797427116,5,2,FALSE,clone-species,between co-clusters,0
m1.Paenibacillaceae,m1.C3,0.5662372242932525,1,2,FALSE,clone-species,between co-clusters,0
m1.Ruminococcaceae,m1.C3,0.4476836939104458,6,2,FALSE,clone-species,between co-clusters,0
m2.C1,m1.C3,0.2792149129288456,1,2,FALSE,clone-clone,between co-clusters,0.125
m2.C2,m1.C3,0.05461023146420185,2,2,TRUE,clone-clone,within co-cluster,0.2916666666666667
m2.C3,m1.C3,0.3044765774778512,2,2,TRUE,clone-clone,within co-cluster,0.09090909090909093
m2.C4,m1.C3,0.5766819336661428,3,2,FALSE,clone-clone,between co-clusters,0.06722689075630252
m2.C5,m1.C3,0.24321020418880535,2,2,TRUE,clone-clone,within co-cluster,0.1111111111111111
m2.Enterobacteriaceae,m1.C3,0.4700753148417356,5,2,FALSE,clone-species,between co-clusters,0
m2.Muribaculaceae,m1.C3,0.6293485504798939,5,2,FALSE,clone-species,between co-clusters,0
m2.Paenibacillaceae,m1.C3,0.3867736153000003,1,2,FALSE,clone-species,between co-clusters,0
m3.C1,m1.C3,0.2081773222277047,1,2,FALSE,clone-clone,between co-clusters,0.09302325581395347
m3.C2,m1.C3,0.05222711947573089,2,2,TRUE,clone-clone,within co-cluster,0.4107142857142857
m3.C3,m1.C3,0.23265386355239437,2,2,TRUE,clone-clone,within co-cluster,0.07317073170731707
m3.C4,m1.C3,0.16645778542732959,2,2,TRUE,clone-clone,within co-cluster,0
m3.C5,m1.C3,0.648662805045688,7,2,FALSE,clone-clone,between co-clusters,0.11688311688311688
m3.C6,m1.C3,0.698887817294938,5,2,FALSE,clone-clone,between co-clusters,0.07339449541284404
m3.C7,m1.C3,0.6246379372377734,7,2,FALSE,clone-clone,between co-clusters,0.1111111111111111
