label1,label2,overlap,z_score,neg_log_p,correlation,significant
m2.C5,m1.C6,0.05555555555555555,-1.5141695118803637,0.8861139377075461,0.645532622360343,FALSE
m3.C1,m1.C6,0.023255813953488372,-2.063698206314168,1.4084196735402863,0.6839326249295457,TRUE
m3.C2,m1.C6,0.5865921787709497,4.845914269881603,5.899526294045964,0.8017617036828577,TRUE
m3.C3,m1.C6,0.5121951219512195,7.617393104677229,13.586951642996548,0.9437543920451581,TRUE
m3.C4,m1.C6,0.2222222222222222,1.1609088204402767,0.609631997082736,0.7056905852559534,FALSE
m3.C5,m1.C6,0.11688311688311688,-0.3331290553104129,0.13133389572212362,0.489608680414916,FALSE
m3.C6,m1.C6,0.11009174311926606,-0.6471144436035302,0.2860410764064905,-0.24525775632670643,FALSE
m3.C7,m1.C6,0.037037037037037035,-1.4528344371195698,0.8348455462695562,0.09134466777043715,FALSE
m3.C8,m1.C6,0.05,-1.0357010259294621,0.5223844469186638,0.24774336275821252,FALSE
m3.C9,m1.C6,0.21052631578947367,1.0370671654489916,0.5233066547082978,0.19746684311239115,FALSE
m3.C10,m1.C6,0.23076923076923078,1.129285989902341,0.5870739753195336,0.4993591414320404,FALSE
m3.C11,m1.C6,0.1111111111111111,-0.2757384675334812,0.10637750754503626,0.18419774037467207,FALSE
m3.C12,m1.C6,0,-1.1507225849977807,0.602326935143919,-0.12971942602258402,FALSE
m3.C13,m1.C6,0.5,3.0635236987866015,2.660058136055993,0.718613048307054,TRUE
m4.C1,m1.C6,0,-2.2292726162523078,1.5884514787962434,0.6411712427126762,TRUE
m4.C2,m1.C6,0,-0.4682869664285237,0.19410554107481873,0.14962006523913496,FALSE
m4.C3,m1.C6,0.1,-0.545422952106419,0.23250079969967072,0.4457977983988358,FALSE
m4.C4,m1.C6,0.16666666666666666,-0.001591143123470015,5.517079734380051e-4,0.761106946553915,FALSE
m4.C5,m1.C6,0.5,3.4804958339302945,3.3006075392296794,0.783667392972556,TRUE
m4.C6,m1.C6,0.57,11.627673152503116,30.525618874257013,0.9296565582301868,TRUE
m4.C7,m1.C6,0.2236842105263158,1.4104889925828745,0.8002575874339996,0.43662387045809736,FALSE
m4.C8,m1.C6,0.25,0.6320157966382741,0.27787918097747083,0.8756791296704812,FALSE
m4.C9,m1.C6,0.34782608695652173,3.970975779532499,4.145215242013219,0.7704489912221735,TRUE
m4.C10,m1.C6,0,-0.8892338409858709,0.4272707639470845,0.6084534886724182,FALSE
m4.C11,m1.C6,0.2727272727272727,0.8771792052646441,0.41977169755652366,0.4099442679591119,FALSE
m4.C12,m1.C6,0.23076923076923078,0.9419725478569415,0.46066453793714257,0.507972484622799,FALSE
m4.C13,m1.C6,0.061224489795918366,-2.061653140259368,1.4062624695454056,-0.171624325198648,TRUE
m4.C14,m1.C6,0.2727272727272727,1.6435645870530806,0.9988455570886473,0.2641467749746136,FALSE
m1.C8,m1.C7,0,-2.5669620664100194,1.9888787354395367,0.48988838598543527,TRUE
m1.C9,m1.C7,0,-0.8577918172684111,0.40781499115837455,0.6645922566583625,FALSE
m2.C1,m1.C7,0.2727272727272727,3.6991805166882954,3.66495005807208,0.4426634151772889,TRUE
m2.C2,m1.C7,0.36363636363636365,-0.04150884146950824,0.01462282160674226,0.5838684035047149,FALSE
m2.C3,m1.C7,0,-0.3925791924479673,0.1582462701499808,0.7542434414975558,FALSE
m2.C4,m1.C7,0,-1.2017796893190493,0.6393140263736504,0.3247749112123155,FALSE
m2.C5,m1.C7,0.09090909090909091,1.7384938860833616,1.0855308234206615,0.5405499171303305,FALSE
m3.C1,m1.C7,0.18181818181818182,2.8781325470764996,2.3978998185714957,0.5093219082213645,TRUE
m3.C2,m1.C7,0.36363636363636365,-0.3749435453185105,0.15014929905134441,0.4747033827923186,FALSE
m3.C3,m1.C7,0,-0.5836318717185123,0.2522247392652484,0.8124062459527899,FALSE
m3.C4,m1.C7,0.09090909090909091,2.3921068265427565,1.775934223783077,0.6655495067532758,TRUE
m3.C5,m1.C7,0,-0.8305313927046353,0.3912190201837346,0.4894702068248036,FALSE
m3.C6,m1.C7,0,-0.989598571896643,0.4916448845671404,-0.15680893415127328,FALSE
m3.C7,m1.C7,0,-0.4445614397626096,0.18267483528246084,0.1799621004918902,FALSE
m3.C8,m1.C7,0,-0.3595317034227465,0.14315191233056063,0.27412086410550407,FALSE
m3.C9,m1.C7,0,-0.3768580972167503,0.15102366785508523,0.3551997139353129,FALSE
m3.C10,m1.C7,0,-0.3080209061929481,0.12029273832249494,0.49855050710618665,FALSE
m3.C11,m1.C7,0,-0.4469899327725402,0.1838367283871201,0.24329661067875374,FALSE
m3.C12,m1.C7,0,-0.276738734345018,0.10680395046300734,-0.0061053295985449285,FALSE
m3.C13,m1.C7,0,-0.2699785399196895,0.10392773426792361,0.5483070724453989,FALSE
m4.C1,m1.C7,0,-0.530323747634381,0.22483573613724397,0.5174312325687025,FALSE
m4.C2,m1.C7,0,-0.0897577384569332,0.03222757194758607,0.1759987339875324,FALSE
m4.C3,m1.C7,0.1,3.322219826909901,3.049127597185197,0.5014737578801802,TRUE
