Sample,Cohort,Time_int,n_detected,mean_freq,median_freq,max_freq,frac_above_1pct
m7,colonized_2,15,1899,5.26592943654555e-4,2.1811130874419143e-6,0.1829535833688673,0.010005265929436546
m7,colonized_2,16,1797,5.564830272676684e-4,1.854034806166223e-6,0.17439793000721962,0.01001669449081803
m7,colonized_2,17,1725,5.797101449275362e-4,1.4221352507508874e-6,0.16219310321288796,0.010434782608695653
m7,colonized_2,18,1596,6.265664160401002e-4,1.6010164533258875e-6,0.1572608017378073,0.010651629072681704
m8,colonized_2,2,120588,8.292699107705576e-6,2.4696880098019173e-6,0.004518157009043174,0
m8,colonized_2,3,72376,1.3816734829225158e-5,5.862562668883225e-6,0.002909105553911489,0
m8,colonized_2,4,49688,2.0125583641925616e-5,7.389027266625938e-6,0.003054038326466185,0
m8,colonized_2,5,21584,4.633061527057079e-5,1.3258122655135281e-6,0.05695265232721153,0.0010192735359525575
m8,colonized_2,6,5702,1.7537706068046299e-4,9.678718176374637e-7,0.12378241725341207,0.003858295334970186
m8,colonized_2,7,3006,3.3266799733865603e-4,3.5922836441039685e-6,0.17063118709625588,0.005988023952095809
m8,colonized_2,8,2687,3.721622627465575e-4,3.840829619197746e-6,0.16995607051123043,0.006698920729438035
m8,colonized_2,9,2517,3.972983710766786e-4,3.36573639956407e-6,0.17090368002886455,0.006754072308303536
m8,colonized_2,10,2226,4.492362982929021e-4,3.4392261511878085e-6,0.1760889521451743,0.008535489667565139
m8,colonized_2,11,1921,5.205622071837585e-4,3.3930405653422496e-6,0.15163806744747726,0.00989068193649141
m8,colonized_2,12,1987,5.032712632108706e-4,2.328271767522064e-6,0.14692791816124737,0.009562154001006542
m8,colonized_2,13,1668,5.995203836930455e-4,2.7156995268572497e-6,0.14286412608449764,0.011390887290167866
m8,colonized_2,14,1334,7.496251874062968e-4,3.692322151751084e-6,0.17086757822268395,0.01424287856071964
m8,colonized_2,15,1482,6.747638326585695e-4,2.4148064894819654e-6,0.20094294743690713,0.01282051282051282
m8,colonized_2,16,1276,7.836990595611285e-4,2.3788133368962672e-6,0.23949654794537928,0.014890282131661442
m8,colonized_2,17,1193,8.382229673093043e-4,2.573655610778341e-6,0.25379590074568453,0.015088013411567477
m8,colonized_2,18,1196,8.361204013377926e-4,1.9860302631291496e-6,0.26406159077052016,0.015050167224080268
